feature_set,feature_family,candidate_compatible,n_features,model_type,benchmark_role,selected_by_validation,bn_stratified_error_method,bn_stratified_group_column,requested_folds,actual_folds,completed_folds,benchmark_status,benchmark_note,bn_formula_count,non_bn_formula_count,bn_mae,bn_rmse,bn_r2,non_bn_mae,non_bn_rmse,non_bn_r2,bn_to_non_bn_mae_ratio
matminer_composition_plus_structure_summary,structure_aware,False,30,hist_gradient_boosting,selected_model,True,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.790768004095579,2.1442619694480913,-0.41346275396673815,0.5670410006756186,0.8498347403582706,0.6146561903930561,3.158092628155482
basic_formula_composition,composition_only,True,7,hist_gradient_boosting,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,2.202848048849842,2.465614445636954,-0.8688696642561977,0.9587985416856994,1.241038328728416,0.17823088551615673,2.2975087602625393
basic_formula_composition,composition_only,True,7,linear_regression,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.4635303222430984,1.7371082644538554,0.07235361636082716,1.042809387954322,1.2980557592525168,0.1009866887116686,1.4034495077898215
basic_formula_composition,composition_only,True,7,torch_mlp,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.341323994158126,1.9473987795014187,-0.1658387059522719,0.8894408253778298,1.3680785952944725,0.0013770986365523319,1.5080531002029716
basic_formula_composition,composition_only,True,7,torch_mlp_ensemble,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.3512613760861523,1.9088203973398306,-0.12010520969149141,0.880840428419611,1.3454879098782264,0.0340847457292649,1.5340592149142867
fractional_composition_vector,composition_only,True,118,hist_gradient_boosting,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.3732405132849874,1.9958262555362167,-0.22454329878472845,0.7883114924273121,1.0615546965907106,0.39873741792956774,1.7420024019396239
fractional_composition_vector,composition_only,True,118,linear_regression,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.383675888950025,2.019946389349182,-0.2543200637344838,0.8390097080444678,1.1014475209715535,0.352697856791073,1.649177447749734
fractional_composition_vector,composition_only,True,118,torch_mlp,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.3061506401330965,1.9656840510052354,-0.18783498077066207,0.6671325112485881,1.030605469787936,0.4332855171408433,1.9578578739754993
fractional_composition_vector,composition_only,True,118,torch_mlp_ensemble,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.1968749110162786,1.9129707376202791,-0.12498138529105618,0.641953692935828,1.0063896130039591,0.4596045087415662,1.8644256185249837
matminer_composition,composition_only,True,19,linear_regression,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.418830737288395,1.7252180038346412,0.08500937103011985,0.8571144237991711,1.119087194174738,0.3317987595075752,1.6553574387412697
matminer_composition,composition_only,True,19,torch_mlp,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.235353096319665,1.8368158726561137,-0.03719384328830788,0.6815189838959469,1.0427910094475195,0.4198050001043099,1.8126466400945869
matminer_composition,composition_only,True,19,torch_mlp_ensemble,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.212813928634558,1.858879072573132,-0.0622603202438492,0.6697271604130912,1.02948851180179,0.43451324835150784,1.8109074863956363
matminer_composition_plus_structure_summary,structure_aware,False,30,linear_regression,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.268311726546012,1.5899344071248789,0.2228817671700971,0.8913824654580509,4.508250305499991,-9.844148768704523,1.4228591830043125
matminer_composition_plus_structure_summary,structure_aware,False,30,torch_mlp,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.2729213871815632,1.7108009346689805,0.10023801430964085,0.6073036990553898,0.957119187296506,0.5112222019617713,2.096021132691084
matminer_composition_plus_structure_summary,structure_aware,False,30,torch_mlp_ensemble,candidate_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.2452569738384756,1.7058453538224083,0.1054430446931115,0.5868897111355637,0.9306327022462879,0.5378999193236265,2.1217904321904832
feature_agnostic_dummy,feature_agnostic_baseline,False,30,dummy_mean,dummy_baseline,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Dummy regressor baseline that ignores composition features.,10,4371,1.3250597270878437,1.8909678691661658,-0.099251284689432,1.1162332147760292,1.3716282043680743,-0.003811666805027869,1.1870814356242887
matminer_composition,composition_only,True,19,hist_gradient_boosting,screening_model,False,group_kfold_bn_vs_non_bn_formula_stratified_error,formula,5,5,5,ok,Runs grouped-by-formula cross-validation and reports separate BN vs non-BN formula-level errors so the project can show whether BN-containing systems are systematically harder than the broader 2D-material population.,10,4371,1.5004198571334937,1.9349444178220216,-0.15097441900028286,0.5830274445421929,0.8817917405946272,0.5851305279776207,2.5734978193207683
